410931,2016-08-06 15:05:51,23
410948,2016-08-06 15:15:52,17
410967,2016-08-06 15:25:52,19
411049,2016-08-06 15:35:53,82
411066,2016-08-06 15:45:53,17
411088,2016-08-06 15:55:53,22
411124,2016-08-06 16:05:54,36
411151,2016-08-06 16:15:54,27
411205,2016-08-06 16:25:54,54
411224,2016-08-06 16:35:55,19
411250,2016-08-06 16:45:55,26
411282,2016-08-06 16:55:55,32
411316,2016-08-06 17:05:56,34
411364,2016-08-06 17:15:56,48
411380,2016-08-06 17:25:56,16
411390,2016-08-06 17:35:57,10
411434,2016-08-06 17:45:57,44
411459,2016-08-06 17:55:57,25
411489,2016-08-06 18:05:58,30
411514,2016-08-06 18:15:58,25
411524,2016-08-06 18:25:59,10
411546,2016-08-06 18:35:59,22
411571,2016-08-06 18:45:59,25
411628,2016-08-06 18:56:00,57
411650,2016-08-06 19:06:00,22
411712,2016-08-06 19:16:00,62
411759,2016-08-06 19:26:01,47
411824,2016-08-06 19:36:01,65
411887,2016-08-06 19:46:01,63
411925,2016-08-06 19:56:02,38
411968,2016-08-06 20:06:02,43
412055,2016-08-06 20:16:02,87
412071,2016-08-06 20:26:03,16
412136,2016-08-06 20:36:03,65
412188,2016-08-06 20:46:03,52
412245,2016-08-06 20:56:04,57
412334,2016-08-06 21:06:04,89
412430,2016-08-06 21:16:04,96
412498,2016-08-06 21:26:05,68
412503,2016-08-06 21:36:05,5
412522,2016-08-06 21:46:06,19
412536,2016-08-06 21:56:06,14
412593,2016-08-06 22:06:06,57
412613,2016-08-06 22:16:07,20
412647,2016-08-06 22:26:07,34
412693,2016-08-06 22:36:07,46
412709,2016-08-06 22:46:08,16
412727,2016-08-06 22:56:08,18
412764,2016-08-06 23:06:08,37
412787,2016-08-06 23:16:09,23
412823,2016-08-06 23:26:09,36
412845,2016-08-06 23:36:10,22
412855,2016-08-06 23:46:10,10
412883,2016-08-06 23:56:10,28
412960,2016-08-07 00:06:11,77
413034,2016-08-07 00:16:11,74
413065,2016-08-07 00:26:11,31
413131,2016-08-07 00:36:12,66
413171,2016-08-07 00:46:12,40
413197,2016-08-07 00:56:12,26
413264,2016-08-07 01:06:13,67
413299,2016-08-07 01:16:13,35
413333,2016-08-07 01:26:14,34
413375,2016-08-07 01:36:14,42
413444,2016-08-07 01:46:14,69
413514,2016-08-07 01:56:15,70
413543,2016-08-07 02:06:15,29
413571,2016-08-07 02:16:15,28
413618,2016-08-07 02:26:16,47
413692,2016-08-07 02:36:16,74
413726,2016-08-07 02:46:16,34
413776,2016-08-07 02:56:17,50
413807,2016-08-07 03:06:17,31
413853,2016-08-07 03:16:17,46
413896,2016-08-07 03:26:18,43
413944,2016-08-07 03:36:18,48
413995,2016-08-07 03:46:19,51
414037,2016-08-07 03:56:19,42
414067,2016-08-07 04:06:19,30
414080,2016-08-07 04:16:20,13
414121,2016-08-07 04:26:20,41
414158,2016-08-07 04:36:20,37
414173,2016-08-07 04:46:21,15
414185,2016-08-07 04:56:21,12
414272,2016-08-07 05:06:21,87
414298,2016-08-07 05:16:22,26
414375,2016-08-07 05:26:22,77
414429,2016-08-07 05:36:23,54
414483,2016-08-07 05:46:23,54
414560,2016-08-07 05:56:23,77
414607,2016-08-07 06:06:24,47
414640,2016-08-07 06:16:24,33
414698,2016-08-07 06:26:24,58
414737,2016-08-07 06:36:25,39
414822,2016-08-07 06:46:25,85
414862,2016-08-07 06:56:25,40
414923,2016-08-07 07:06:26,61
414937,2016-08-07 07:16:26,14
414963,2016-08-07 07:26:26,26
415003,2016-08-07 07:36:27,40
415039,2016-08-07 07:46:27,36
415086,2016-08-07 07:56:28,47
415129,2016-08-07 08:06:28,43
415166,2016-08-07 08:16:28,37
415172,2016-08-07 08:26:29,6
415211,2016-08-07 08:36:29,39
415227,2016-08-07 08:46:29,16
415308,2016-08-07 08:56:30,81
415316,2016-08-07 09:06:30,8
415362,2016-08-07 09:16:31,46
415417,2016-08-07 09:26:31,55
415449,2016-08-07 09:36:31,32
415532,2016-08-07 09:46:32,83
415585,2016-08-07 09:56:32,53
415606,2016-08-07 10:06:32,21
415638,2016-08-07 10:16:33,32
415675,2016-08-07 10:26:33,37
415739,2016-08-07 10:36:34,64
415767,2016-08-07 10:46:34,28
415774,2016-08-07 10:56:34,7
415791,2016-08-07 11:06:35,17
415830,2016-08-07 11:16:35,39
415901,2016-08-07 11:46:38,8
415941,2016-08-07 11:56:38,40
415976,2016-08-07 12:06:39,35
416024,2016-08-07 12:16:39,48
